0.1960,3.71,-0.05
0.1969,3.69,0.84
0.1990,3.39,0.02
0.1996,3.80,1.09
0.2000,3.40,
0.2000,3.70,-0.05
0.2020,3.20,0.03
0.2024,3.63,0.92
0.2040,3.78,0.02
0.2050,3.38,
0.2051,3.55,0.97
0.2079,3.56,0.86
0.2080,3.74,0.02
0.2115,3.61,0.80
0.2120,3.67,-0.04
0.2140,3.41,
0.2160,3.79,-0.12
0.2161,3.53,0.38
0.2170,3.56,
0.2190,3.56,0.26
0.2200,3.58,
0.2200,3.96,-0.51
0.2200,3.98,-0.22
0.2220,4.20,
0.2223,4.67,0.44
0.2240,4.15,-0.35
0.2240,4.08,-0.31
0.2250,4.72,
0.2256,4.33,0.53
0.2280,4.14,-0.14
0.2280,4.15,-0.37
0.2289,3.99,0.62
0.2290,4.01,
0.2320,3.35,-0.05
0.2320,4.09,-0.26
0.2321,4.28,0.83
0.2350,4.40,
0.2354,3.64,0.79
0.2360,3.42,0.00
0.2360,3.91,-0.09
0.2380,3.63,
0.2387,3.45,0.70
0.2400,3.18,-0.12
0.2400,3.76,-0.03
0.2420,3.40,0.72
0.2427,3.91,0.56
0.2430,3.64,
0.2440,4.02,-0.57
0.2440,3.96,-0.20
0.2451,4.40,0.62
0.2473,4.70,0.39
0.2480,4.36,
0.2480,4.37,-0.32
0.2480,4.25,-0.34
0.2493,4.70,-0.03
0.2515,4.64,0.50
0.2520,4.57,
0.2520,4.31,-0.31
0.2520,4.31,-0.32
0.2535,4.44,0.28
0.2550,4.67,
0.2557,4.38,0.50
0.2560,4.20,-0.32
0.2560,4.33,-0.35
0.2576,4.47,0.47
0.2590,4.25,-0.42
0.2599,4.12,-0.39
0.2600,4.41,
0.2600,4.36,-0.43
0.2619,4.39,0.33
0.2627,3.55,0.74
0.2630,4.16,-0.62
0.2640,4.80,
0.2640,4.38,-0.41
0.2651,4.14,-0.30
0.2660,4.62,
0.2669,4.43,-0.15
0.2670,4.29,-0.52
0.2680,4.44,-0.42
0.2697,4.29,0.44
0.2700,4.44,
0.2720,4.61,
0.2720,4.44,-0.47
0.2724,4.03,0.91
0.2730,3.92,-0.19
0.2752,3.86,0.77
0.2760,4.43,
0.2760,4.31,-0.40
0.2779,3.85,0.68
0.2780,3.61,-0.10
0.2800,4.08,-0.25
0.2825,3.99,-0.32
0.2830,4.10,
0.2840,3.58,-0.25
